"filename", "language", "Markdown", "Python", "Scala", "Java Properties", "YAML", "CSS", "JavaScript", "JavaScript JSX", "JSON", "XML", "HTML", "C++", "Haskell", "Go", "Java", "comment", "blank", "total"
"c:\Users\where\Documents\github\code\456QQ\main.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0
"c:\Users\where\Documents\github\code\_100\39\solution.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, 0
"c:\Users\where\Documents\github\code\_100\6\main.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, 0
"c:\Users\where\Documents\github\code\algorithm\advancedDS\block\range-sum-query-mutable.py", "Python", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 28
"c:\Users\where\Documents\github\code\algorithm\advancedDS\fenwickTree\using\fenwickTree.py", "Python", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 26
"c:\Users\where\Documents\github\code\algorithm\advancedDS\fenwickTree\using\index.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\where\Documents\github\code\algorithm\advancedDS\persistentSegmentTree\index.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\where\Documents\github\code\algorithm\advancedDS\slopeTrick\index.md", "Markdown", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 12
"c:\Users\where\Documents\github\code\algorithm\advancedDS\slopeTrick\questions\lcp59.py", "Python", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 48
"c:\Users\where\Documents\github\code\algorithm\advancedDS\slopeTrick\slopTrickClass.py", "Python", 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35, 141
"c:\Users\where\Documents\github\code\algorithm\advancedDS\slopeTrick\slopTrickHeap.py", "Python", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 48
"c:\Users\where\Documents\github\code\algorithm\advancedDS\slopeTrick\slopTrickSortedList.py", "Python", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 36
