Date : 2024-03-31 14:47:50
Directory : c:\Users\where\Documents\github\code
Total : 3919 files,  405141 codes, 14593 comments, 298832 blanks, all 718566 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| HTML               |        159 |    205,649 |      1,231 |    268,995 |    475,875 |
| Python             |      3,217 |    118,546 |     10,822 |     24,653 |    154,021 |
| JSON               |         21 |     54,058 |          0 |         10 |     54,068 |
| C++                |         76 |      9,025 |        319 |      1,258 |     10,602 |
| JavaScript         |         58 |      5,560 |      1,421 |      1,130 |      8,111 |
| Markdown           |        185 |      4,060 |          0 |      1,575 |      5,635 |
| Java               |         48 |      3,097 |        146 |        355 |      3,598 |
| Go                 |         49 |      1,792 |        111 |        342 |      2,245 |
| Scala              |         58 |        991 |        243 |        268 |      1,502 |
| XML                |         10 |        900 |          7 |          0 |        907 |
| CSS                |          7 |        588 |        151 |        136 |        875 |
| C#                 |         11 |        558 |        138 |         46 |        742 |
| Log                |          3 |        126 |          0 |         21 |        147 |
| JavaScript JSX     |          1 |         60 |          4 |         10 |         74 |
| Haskell            |          3 |         54 |          0 |         12 |         66 |
| JSON with Comments |          1 |         50 |          0 |          0 |         50 |
| YAML               |          1 |         14 |          0 |          8 |         22 |
| Java Properties    |          8 |          8 |          0 |          8 |         16 |
| Go Module File     |          2 |          4 |          0 |          4 |          8 |
| Properties         |          1 |          1 |          0 |          1 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                  |      3,919 |    405,141 |     14,593 |    298,832 |    718,566 |
| . (Files)                                                                                                                                                          |          8 |        743 |          0 |        256 |        999 |
| 456QQ                                                                                                                                                              |          2 |         40 |          0 |          3 |         43 |
| _100                                                                                                                                                               |         21 |        608 |          2 |         69 |        679 |
| _100\39                                                                                                                                                            |          2 |         54 |          0 |         10 |         64 |
| _100\40                                                                                                                                                            |          3 |         56 |          0 |          3 |         59 |
| _100\40 (Files)                                                                                                                                                    |          2 |         45 |          0 |          3 |         48 |
| _100\40\out                                                                                                                                                        |          1 |         11 |          0 |          0 |         11 |
| _100\40\out\production                                                                                                                                             |          1 |         11 |          0 |          0 |         11 |
| _100\40\out\production\40                                                                                                                                          |          1 |         11 |          0 |          0 |         11 |
| _100\41                                                                                                                                                            |          1 |         23 |          0 |          3 |         26 |
| _100\42                                                                                                                                                            |          2 |         50 |          0 |          7 |         57 |
| _100\44                                                                                                                                                            |          1 |         34 |          0 |          3 |         37 |
| _100\45                                                                                                                                                            |          2 |         46 |          0 |          4 |         50 |
| _100\46                                                                                                                                                            |          1 |         30 |          1 |          4 |         35 |
| _100\47                                                                                                                                                            |          1 |         39 |          1 |          4 |         44 |
| _100\48                                                                                                                                                            |          1 |         24 |          0 |          4 |         28 |
| _100\49                                                                                                                                                            |          1 |         28 |          0 |          3 |         31 |
